uniq_id,cluster
02593e81-5c09-5069-8516-b0b29f439ded,0
5938d217-b8c5-5d3e-b1cf-e28e340f292e,4
b2ede786-3f51-5a45-9a5b-bcf856958cd8,3
8fd9377b-cfa6-5f10-835c-6b8eca2816b5,3
bdc9aa30-9439-50dc-8e89-213ea211d66a,2
20da3703-26f1-53e5-aa0b-a8104527d1bb,0
aba4138e-6401-52ca-a099-02e30b638db4,0
02593e81-5c09-5069-8516-b0b29f439ded,0
5938d217-b8c5-5d3e-b1cf-e28e340f292e,4
b2ede786-3f51-5a45-9a5b-bcf856958cd8,3
8fd9377b-cfa6-5f10-835c-6b8eca2816b5,3
bdc9aa30-9439-50dc-8e89-213ea211d66a,2
20da3703-26f1-53e5-aa0b-a8104527d1bb,0
aba4138e-6401-52ca-a099-02e30b638db4,0
fa87da9a-a8cf-51d7-895f-d64b75ee02a3,2
a0a69530-a944-589d-a036-90358cb9e485,4
cf4086a8-d611-56f1-ba50-4f2ac2670b42,1
4129440e-cfff-5498-b9d6-16ec18b0a285,1
d553e7ea-4dce-5147-8534-3230f5e7848d,2
7e2fae41-2f67-5363-a013-9a3854be6630,1
6ed419d5-318a-5013-a0c4-d182d6ad6471,2
17f320a4-fc0c-5bf3-969e-3e7823b85c57,0
8f491435-a1c3-5c48-ad17-b8ebfde82fe9,3
7254e915-73f6-5992-b727-56ac68f60847,0
6b7557a1-43b8-5aec-9d97-582b567fee71,3
4fdbca90-1957-5f1f-a306-4fb1e2ece45f,0
81c0bc61-6ec2-5484-8388-2c404f3dd8f7,0
d5a75f7b-b874-5757-9778-790a1f33be14,4
02f8cd17-8c4f-5c32-acc0-4af9115c6c20,2
04bc713c-9fe6-5c25-8ea3-4ddb44b06806,0
fb5af385-aee6-568c-a22f-e6b90ef92dac,2
18789491-161e-51d1-86d9-3f0c04ee7237,0
bef8d8d3-ca7a-5d47-8f1b-e7afe28a2f3b,4
ed0012a9-6a2a-58be-9047-b29c5d8a4c76,2
88c36902-83c8-59f3-98ed-c298c37ff69b,0
2242a6b3-451f-51e4-8864-51f639adb13d,1
7df6de67-891e-567d-b8a5-3d184440a707,2
d0c0875d-f909-5c07-b093-9c45cd0af58a,0
48619980-0cdb-5056-8cb8-e36537a5e953,4
9e1f462e-0db8-510e-a561-be258e4f343e,3
7304f972-08ff-5958-b95b-a71825a9d1f5,3
76b3e878-b8e1-5ad0-9de6-c212f189c81a,0
67a9650d-65a9-5baa-bac0-05675c468b0b,0
5de4c46a-0cec-5b22-9b2f-5ad97440513a,4
599c5d85-f15d-57ee-a301-30da352c2013,2
0c2914ea-b086-5108-9db0-43410a8eb5d0,0
066413fe-201e-58ff-b56c-e00cd2d21cf6,4
d122a544-975b-5041-9c3d-cc00ca7cf91a,3
e03d22da-0321-5be0-8787-7eedeb2d104a,0
eea44325-329f-528b-bcd5-66e7f663a1a6,4
f0dc38ef-7fc6-5cc4-b35b-65f936ce7f1a,0
386c3d4e-fc1d-5ab2-908d-4eab9fc830b1,2
eecadc04-afeb-5858-a60f-3979a80b79ba,0
9762324d-bb95-5daa-a613-7c5f77eb01f6,0
632206ec-2167-5617-8b16-75dc3226c22a,0
28724c48-738d-5f25-b770-6e2029a32adc,4
81c4a11e-4cc2-587f-93bb-5b4eeb4be3bb,2
b5ba6e32-6eea-582c-85be-c44775bed4d8,1
9e82e445-4d8d-5fd1-9dcf-a92d9783365c,2
1308e3d5-7cba-52c1-9fe7-8503e4e11f3b,0
2387f6a9-15bd-5e9a-ac67-2c51738fb09f,1
3656fd70-40ab-51a4-a1a0-b65f994840ee,0
a6b1503d-f9fa-5fa5-8aa1-62982c7c692b,1
d52e33c2-540d-5e61-b0bd-c4b57c53251f,1
f5ae2c9b-4070-5230-b90a-691268b0a637,2
203ecc9a-8e03-5fa0-b5d9-95f04028d8fa,0
72675ea3-0e2e-5752-a1fb-61a1a3031f4e,4
7667bf0e-06c6-52ce-b25b-ca878ec4744e,1
579657ef-e010-5fb7-b301-a50db999bba7,2
f5d6e793-cad3-585f-a24f-5644840a792d,4
e0306e57-55a4-562a-ab47-f8e5830cbf60,0
b3a490d6-a89e-57e0-9188-706c89a156a1,4
90df9937-68f3-5bff-bda3-830c82b97f1d,4
42c2f7d8-e5c1-5a0d-b544-99186f79754c,1
d7ff0631-4ccc-5b95-b1d7-c41b37cbe727,3
9e04c6fa-668b-5bcf-8201-9d947210889f,1
9b0e0b55-3984-5624-9bb6-3552bb4d262f,0
e1b2c330-c5aa-5a67-9320-39fdee20e34d,1
95c4f44f-0f83-5c3b-8a4a-c41fa91f5150,0
e092329c-8feb-545c-be6e-1c3f06da4dc3,0
0a8d1a88-cead-55fe-a935-eca4807430db,1
db5c35ba-437d-5200-9a51-f803a8393aef,4
122c5c2a-5490-51ce-8555-9526c9698a38,0
837097bd-af65-56a4-a926-2a38acbf0e01,1
ed575bc1-c87c-51f4-b34b-a7b64b1b70f3,4
66299dbc-e3c2-52f8-88d7-2b0cba129172,4
91688563-4731-5976-bc36-85e98ca7ba1a,2
0583ef58-47cd-509b-9e6d-89a0ad8490b2,4
8d9d418c-423c-55c9-b398-e72e38d30fb6,2
9a6699ab-a3f6-5ef6-8630-74731962e81c,2
850a2c03-f708-59b4-a506-c4b9428bb2ea,0
930327b1-8e0e-5771-a69c-8e1d34a09694,0
e0ea5029-8dae-5261-9c57-e98bd40e5bdb,4
fe9f61e3-48a7-5523-acd9-1b3538a012d7,1
6be2d007-defa-5276-a203-fe51277f03c1,4
25fe26b0-c1d3-5935-b486-bfb915fe916b,0
c5ab3463-5b96-5d58-9f88-8175cdea76a3,4
5385a46e-4f3d-529a-a1d7-fe3e590abf77,3
d00f8e82-7c15-5c18-9835-21574ca361cf,4
e8f3d4ce-f965-5194-a344-447aab6a326d,4
ca08facd-e8da-5a55-84df-22c1aea973ea,2
e6784db9-822a-50ab-8f57-f79cbe608f15,0
0f7db59b-10e3-5fce-a0c4-380f718befe1,2
cedd3264-1032-552d-8c6f-36c9c7180349,4
c8dcba5d-7f4d-51be-95f8-237f3d0cc5ca,4
92d31095-e65e-5890-b90b-6c5b7efa78c1,2
2ad53caa-8bbd-5d00-ad94-adaec8f47b6d,3
54e4f202-a43e-5859-b47e-3c81ef395b31,2
fa53e427-fbe3-5256-9de1-4ac3ae2d8c66,0
e50930b5-64cc-58bc-b02a-49abfd7518f5,2
0a865e05-096f-5418-b62c-d4ae53ce051f,3
9c64a049-da82-5db2-b8dd-1683211750a6,4
3ace3727-0e95-5fd0-ad83-fe974ba06e63,3
0faa9a1b-1081-5f6a-82b1-019f5461ba88,1
2fdb11fc-1b9d-52a1-93f8-3a67e3a23424,4
83873d71-fd10-5a9e-b511-903e8e055e75,4
c118a4dc-505e-512f-ba76-bd4e56569556,0
3ac8eccd-7bb2-56f9-a47b-39206ee87dc8,4
a2faf888-34bf-57ff-bd7c-64af98415538,4
b6af8ab6-82ea-5283-a06a-519a65fec39b,0
08e66f1c-9da2-53b9-a2f4-aabffe851727,4
8b85369f-c20b-5e61-baf3-46ead5b2dba7,4
381913f9-c208-53a2-bd1a-748a901da7e9,1
e55f67c8-3f90-522f-b440-57f90df34d8e,4
ed95789c-261c-5ce1-9db4-c626725a1b55,2
16428a22-55b3-557f-b437-e350c36a9e34,0
e4750d43-96c1-5607-963d-86d007a59c67,4
f7fcc71e-0cfb-557a-9a89-5f45c63a9b69,1
c907bc78-3c8e-5a06-b1f8-c6053747b7cd,2
e314694e-0b51-5ce7-b0f4-be28cf3020a7,4
d17a5617-f96f-5a7e-a373-83af67959299,4
ef88909a-9a2c-54ba-9cae-c2adef3df7ff,2
85e6db14-ec39-5dba-b57f-116f9e5b1224,0
ec753aef-0410-55fe-9c9a-6cba84801eb6,4
a03f14fd-c0d3-510d-9e29-cda87468d6de,0
d753c365-42bc-59d5-91cf-7e488f0b0e35,0
8fa24fca-e58e-581c-a156-10ac0d2f2a2b,2
b429007b-6be4-5056-92bf-eb2acf5dd24e,4
b9ea5f59-58c2-5ed9-8a4c-b5be9be01ee1,4
e558c4f4-12f2-5cfd-a314-d69c22675547,0
a1bea533-d1c0-5471-a08a-c0619d61a519,4
197078ef-9dfb-5de8-9cae-5d71a2dcadfa,1
872380d9-4146-555c-8ded-b018dc1e3d3a,4
282a061b-5555-5be0-9e96-a80860f72620,0
82386448-8736-5499-9b60-4482d30cc069,4
797da975-81a0-5bfe-a9d3-177d9ea72a1f,4
bef992b4-8f6c-5cb9-8b8c-24aca7572a51,3
0f2fe2ce-713f-5651-bf5d-c3e2412c6798,2
e037f8af-d28c-51a1-8f1c-3f524620910e,4
f28d5cba-ecd4-5d82-87da-d926d48e1155,0
4c0cfeab-9dc3-577e-a6b0-3d751e1cff13,0
50b8782e-b051-551d-aa0d-494b46dd0676,4
2fe90f14-adab-5df2-8a36-de747ac0b957,1
b7838b38-a622-52b8-b226-972abfab2abc,1
60625d76-c337-5108-86fe-2ffd881051e9,0
4ff545f6-13f7-5a9a-9e73-34ba9f43066d,4
122d2099-7cc7-5086-9867-9ae8378a7825,0
296d1a30-66d2-5612-b0b5-34285ff78422,1
0569942c-8ef5-5a77-b05a-f4ffbf6b3994,4
2ffba8a5-4a7d-5771-9a63-5bd81eb3aad7,0
cb65a15c-6ef5-5abb-9ca7-89de70561f84,1
6aaa6404-dace-5b83-b965-a557eb1f67b0,1
22f67009-e60f-589d-bc12-6f3df5a43acd,2
07b9d03a-02bc-5bc9-9133-a8e7b706cbc4,2
a15f5945-e1cb-5f94-a589-e5f31cbe5619,4
780dda1f-e7ef-598e-9c0e-6536c4b4c261,3
43c50c14-4d58-5d73-af00-792060e66446,4
ccdec6b3-51f9-5f6b-951e-2ac9633392b4,2
f94f084a-a222-5c00-98c2-c332a0a31be2,1
898f9288-4d9e-5c1c-9d3a-82ee0335c9ae,3
48dbde9c-5868-58a6-b2c9-cb5f0b075fe2,0
15abc66c-664d-581b-8a7f-283a7bc1e634,3
035b473a-3a71-5928-9718-4f2c8e8b6df6,4
6a57c399-4049-557a-8c80-01e97618436f,0
d3b554f6-79f8-5da7-b974-e912c6f767fb,4
659158fe-b2ca-5ea7-b5f2-205f74a5e4bc,0
69390ebf-5ded-5059-a2e5-bab448cc07e1,0
9d0cfb85-3c5e-5c77-a880-e1e4e6512d85,1
aed8f17f-e051-52d0-8e8f-7cb29697cb8d,2
38587d05-ed7c-54eb-acc2-057cec374f51,0
6ef05895-5331-5622-9303-0021258ea3cd,4
73032180-9768-5725-bc73-b9e6084cd4f8,2
f98b74ee-a08e-5b35-ad56-1be03ec21376,3
6f10619b-71b9-5e48-ba66-a9969b324b25,1
b660867d-40c5-563a-b5a8-049edea35f1f,0
285883ae-96db-58ea-946d-806950a7537d,2
e8709001-70a8-5b14-adc7-fd8fadf0ae78,0
2662d66b-536d-5893-af62-d284a61e86ed,4
72fa80c8-f396-5c31-9466-9fda1e540a84,0
372f9549-de5b-5857-b138-67c86537b1b8,4
950be137-d751-5d57-a37d-d6741f2c94a0,2
1082a97d-f659-596a-98ab-1c8cb1ac0c24,0
37323128-75a9-578b-9378-79653bfd5b52,4
6497a267-8b47-5f13-bf20-34ef1511185b,0
19cd42db-c797-5003-8f8e-239d885094d1,0
02f63b41-dc12-583b-9575-0526ada8642f,1
375ecb7f-d889-5bcb-9a53-d279b8e7e2c8,2
6149e9a6-4206-5254-bc7a-d9d448239f4c,1
39e60114-002d-50ed-b1a4-efff34e2a7a5,4
9836a914-1b28-5d08-adfb-e7f9a93b0b85,0
486b2524-dc5e-54c6-9da6-0863e2dd56a7,1
d00ad728-3d11-518d-9f4a-18893c80921c,4
6d6256df-3c3b-59f4-9069-27780435adbc,1
0acd8c1c-d689-5fc2-b0ba-9909a60f47dd,4
92344a28-7b9e-56f1-bd7b-093b1a5acd8c,0
f27f0e4d-1b21-5aef-8fdd-69bc0837ac33,1
69045b6b-304e-5851-b67b-096b81294819,4
cfbd7b91-5ce9-5e79-ad16-111ee7b3877f,0
2631f7c4-fc61-5b16-9824-7acf7fd59994,4
238e58d6-f7a8-55db-b3b8-8d9b414668f9,1
0bb9f115-d57e-520a-ba37-6dfe2a37f1f4,2
968ce011-a64e-53e9-970c-b80b52da220b,0
04bc3112-3c6b-551c-af8f-525b0646b183,4
4b0eeeee-a6c7-51bf-9638-bb38cb1e00e0,2
6375ed16-8243-5fc6-8ed9-20365c5c5de7,0
6f2f69a5-61e1-5dea-bc74-176e3b960ee3,3
57481a6c-63a7-51bb-899e-943e7fa684e2,2
6610e4d1-2f14-5a69-a4d1-12584a7fde3b,2
ce921425-0121-53b8-9ce8-1f455be7c9e8,2
7f277423-0559-534a-9d81-3e99b4e1626d,0
f7f497fa-e874-5af1-9507-90625430cef7,1
5fb1fa85-a59b-5617-866c-899ef9c50c1d,1
77d145c8-f7db-5b68-a1b8-ed082cbda5fd,2
fe25ae1d-4a82-57ad-9bab-b9de4321fd0b,4
ec2fa386-d456-5162-a194-ae35de162291,1
be6521c8-bac7-571c-a20b-3df58ff669ef,4
29fbb52e-67a0-5d5c-9d95-f560cdb6b7c3,0
adab56e1-c763-5991-9a14-7d7ca6529167,1
7ea6beb2-9253-55a7-89fa-7e29e0d5d8bd,2
0506ecfb-1a1b-563f-b2cf-b249c5d267f2,1
3e0fd88f-4a97-5379-becb-62829cfdbca7,4
e1988a1e-6fc2-5fbd-ae77-f7a836e2c2d8,2
de8420e9-0b53-5471-9e25-32cdfb012603,4
a8c63d2b-e8f3-5c06-a8d4-33f15bdcbdf3,0
feca0b89-547f-5bca-9b97-f255c5467e47,0
8e230727-1a1b-547f-a233-3ccc4ef17bdb,1
a031f165-da10-5a86-8d1b-d281590e33c9,0
55eabd2a-352d-5354-a153-f15dcc657226,4
8f3f62a9-3e8c-537b-b7b0-a12da9f859eb,0
e4fda4d9-23b6-59e9-86f8-fe7960dab725,4
aee9fd54-bdd4-5e41-ae5b-927b3f1819d5,1
30e84557-a54c-5566-9068-f448417f72e3,0
93eb095c-68d2-568f-a892-1f909dbe1010,1
e0fb90ab-766f-5b76-a61a-3d84ac26a42a,1
74672567-1d46-5854-8be5-4133f57d6fec,0
3033adad-ea69-5549-9c7a-6786116068c2,4
487adf3a-9485-5500-9c98-bcc391eda169,2
4184968f-0344-5a58-8c95-1bb6462b95b5,0
c195eccb-af04-5174-81ad-df5be468f8ff,4
77a17c14-0f11-5b89-87a8-84601f781520,1
30ea9c2f-9b59-558a-bfb1-17655a8e2d9a,0
62bad34b-9432-5be6-9993-9be69aae0d62,4
e0a9985c-7c38-53a4-ab2d-f12e40fcb401,0
7f534b37-e16d-5584-918b-5ca3dee77b60,4
3d3ed8f5-62bd-5fa4-b8e7-0f7db441630b,4
2ba43140-ce21-568b-9680-f8c09f438af8,0
bf5313ec-38d6-56ac-9845-afa3acd737ea,1
06e3b025-a397-5081-8078-9c2140875a89,2
2c7902b4-ae0c-5ed9-9cbc-b6927d0b3347,0
0ecaef9e-1dbd-5183-b8b2-94d290a435ac,4
743afd60-46fa-58dc-a8f9-0bb0c780cb15,1
55848e8c-e963-5855-9a45-d2ab1db4f990,4
6aaac02f-cfdb-5330-88e5-fd88a1857f51,0
1a77ce28-bd86-56a3-935a-f0fd986a2259,0
3474747b-b077-518d-8f7a-0e2a634aff9d,1
8f45da88-b796-55ec-b377-6e6c63727bdc,0
3d5de05a-beab-55fd-9aec-8b20c826f883,0
3837db36-2780-5641-bae8-3a4ac03f6bbd,2
9a754616-914c-54b3-8f54-eabfce76f561,0
53ea88fd-0092-59bd-928e-1a04313f390a,2
edc93e51-a469-577a-999a-83f7ab21c633,1
29de8377-5d46-5686-8ae0-82f4931ce04a,0
ef4c6071-b6f0-5cca-b7e2-3d21d05fc9ad,1
b0dfa07f-a9b7-58a0-8f29-83b74b5f9e42,1
c84ce9b7-6876-5cc0-98b2-5b32bc420b03,4
97fae8e4-f19a-544b-abe6-eaa97ef2f673,0
ac7f654b-6b81-592e-bdc4-acf530062733,2
0c29fc37-71cd-56c8-8fa5-bfa6486a48fc,2
3cbd8443-b3ae-5011-bf59-50f47479a1a7,4
7ef14903-e9c0-5008-8238-e5972591d993,0
30eb7c8c-21ae-5156-91fb-7d8b56eec7ac,0
f017c252-c086-5b08-8b44-ec475a2cb217,4
2e0ca423-c302-5652-b1ce-02c28d084084,1
8efa6752-eda3-5b70-9be3-4e5545a21d40,0
afbb64d6-9fb5-54d9-bc5c-85ac03a32cc3,0
93187a9c-2f39-5187-8939-d37f0e5d8c83,3
76218b45-aa73-5dc9-9aef-67a768fcd3cb,4
907e1224-a99e-552b-ab01-b2e2351f95e3,1
b1b17f81-4429-5a92-83b2-28acea622500,2
b0d2c5ca-144e-56df-b0c1-971a334a0d5e,0
32c52da9-8bbd-5631-a33d-baa27afad141,2
d7288ecb-c3b7-561b-8bcb-a8c9e6d8ffbe,0
a10176fb-74af-5428-9aaf-2787aa4d66d2,0
e5596d53-58a9-528c-af7f-9ae10b5ceba2,2
894ea72c-df59-5240-95da-9a65d87c74b0,0
df7010de-4311-576e-a665-1a2cf556e4f4,0
b71b66f7-4703-50dc-84dd-daeda81e9c37,4
510a547f-be34-5942-b8c2-53c4ffa833d8,3
c88138fb-5c2c-5f19-939a-a18c479ce897,4
bf6f9611-cb3a-5f3e-9754-81d08e92a071,2
8da75933-cc9d-5eb9-bc3d-0d9f38f59e72,0
d0ec7b35-f0f8-5b5c-8948-d6f98601c03b,4
78713869-e5de-5ff9-91c5-8d4933be740c,2
af8b3e99-045c-5075-9335-ac6257cbf2db,4
ee91361a-5882-5bd8-9d08-0da8c1863bd8,0
0db5b842-14ad-5c09-a607-f138120e1e78,2
6259d40c-b254-5fac-aacc-f0c7b0caad7f,4
d3b681ac-6195-5c9b-8125-98b6425829f4,4
07e5e60e-953d-5512-aab8-cf83193de252,0
cb66eee5-7113-5568-9713-9e08e2b48a26,1
0a3805a8-8249-55e1-a9de-ccf6c602f167,0
ca0aa529-6ef0-56d0-81a7-042becdefd4d,4
